Date,Activity,Length,Count (of attendees)
"Wed, 9/2/15",CityArts Alice Wall Mural,360 min,15
"Sat, 9/5/15 - Sun, 9/6/15",NYC Unicycle Fest,600 min,22
"Sun, 9/6/15",West Side County Fair,360 min,9
"Sat, 9/12/15",Harvest Fest,450 min,20
"Sat, 9/12/15",Load OUT!,240 min,2
"Sun, 9/13/15",NYSoM Back to School Bonanza,360 min,23
"Sun, 9/13/15",NYC Century Bike Tour,360 min,37
Sun 9/13/15,Race for the Cure,360 min,90
"Fri, 9/18/15",SRC Interest Meeting,60 min,194
"Sat, 9/19/15",11th Annual RBC Race for the Kids 2015,420 min,11
"Sat, 9/19/15",Lindsay Park Housing Block Party,480 min,7
"Sat, 9/19/15",Hudson River Park Green Team,180 min,8
"Sat, 9/19/15",MDA Muscle Walk of Metro New York,270 min,17
"Sun, 9/20/15",2015 Walk to End Alzheimer's Queens,300 min,47
"Tues, 9/22/15",Diversity Open House,180 min,168
"Sat, 9/26/15",Autumn Moon Festival,600 min,72
"Sun, 9/27/15",2015 Tunnel To Towers 5K Run & Walk,300 min,11
"Sun, 9/27/15",JDRF Walk,240 min,14
"Wed, 9/30/15 - Fri, 10/2/15",Ally Week,1230 min,55
"Sat, 10/3/15",Light the Night,390 min,19
"Sat, 10/3/15",Bay Ridge Half Marathon,360 min,7
"Sun, 10/4/15",Taste of Battery Park,270 min,17
"Sun, 10/4/15",2015 Walk to End Alzheimer's Brooklyn,330 min,18
"Mon, 10/5/15 - Tues, 10/6/15",Stuy Open House,480 min,360
"Thurs, 10/1/15 - Thurs, 10/8/15",CPC Tutoring,240 min,20
"Sat, 10/10/15",Brooklyn Columbus Day Parade,180 min,68
"Sat, 10/10/15",StuyHacks Hackathon,780 min,3
"Sat, 10/10/15",Insane Inflatable 5K,510 min,7
"Sun, 10/11/15",NYC Duathlon,300 min,13
"Sun, 10/11/15",Brooklyn Take Steps for Crohn's and Colitis,210 min,47
"Sat, 10/17/15",Walk with Us to Cure Lupus,360 min,19
"Sat, 10/17/15",2015 Terry Fox Run ,180 min,14
"Sat, 10/17/15",CPC Table Tennis Tournament,420 min,13
"Sat, 10/17/15",Hudson River Park Green Team Part 3,180 min,8
"Sat, 10/17/15",Autumn Moon Festival Setup,180 min,19
"Sat, 10/17/15",Hudson Guild Helping Blind Locals,240 min,3
"Sat, 10/17/15 - Sun, 10/18/15",Manhattan High School Fair,240 min,6
"Sun, 10/18/15",2015 Walk to End Alzheimer's Manhattan,330 min,18
"Sun, 10/18/15",Autumn Moon Festival,660 min,65
"Sun, 10/18/15",Making Strides Against Breast Cancer,360 min,35
"Sat, 10/24/15",NYC Smoke-Free | Launch Event,300 min,21
"Mon, 10/19/15 - Thurs, 10/22/15",CPC Tutoring,240 min,12
"Sun, 10/25/15",New York City 10K ,300 min,27
"Fri, 10/23/15 - Sat, 10/24/15",Spruce Street School PS 397 HALLOWEEN EVENT,570 min,22
"Sat, 10/24/15",Central Park Duathlon,300 min,14
"Mon, 10/26/15 - Thurs, 10/29/15",CPC Tutoring,240 min,13
"Tues, 10/27/15",Susan G. Komen Office Help,120 min,4
"Fri, 10/30/15",Asphalt Screams,60 min,17
"Sun, 11/1/15",NYRR TCS Marathon,600 min,82
"Sun, 11/1/15",NYC Marathon Cheer Station,270 min,14
"Mon, 11/2/15 - Thurs, 11/5/15",CPC Tutoring,240 min,5
"Sat, 11/7/15",Jefferson Awards Fall Leadership Conference,540 min,22
"Sat, 11/7/15",Breathe Deep,330 min,10
"Sat, 11/7/15 - Sun, 11/8/15",ChickTech Workshop,1080 min,28
"Sun, 11/8/15",Breakthrough for Brain Tumors 5K,240 min,39
"Sun, 11/8/15",Making Strides Against Breast Cancer,390 min,25
"Sun, 11/8/15",ARC Preparedness Scavenger Hunt,240 min,18
"Mon, 11/9/15 - Thurs, 11/12/15",CPC Tutoring,240 min,6
"Sun, 11/15/15",The Lauren Beam 5K,180 min,5
"Mon, 11/16/15 - Thurs, 11/19/15",CPC Tutoring,240 min,8
"Thurs, 11/16/15  - Fri, 11/20/15",Stuy PTC ,330 min,322
"Sat, 11/21/15",Hudson Riverside Park Green Team! Part 4,180 min,9
"Sat, 11/21/15 - Sun, 11/22/15",Goddard Riverside Book Fair,1080 min,13
"Mon, 11/23/15 - Wed, 11/25/15",CPC Tutoring,240 min,4
"Mon, 11/30/15 - Thurs, 12/3/15",CPC Tutoring,240 min,5
"Sat, 12/5/15",Urbanathlon (Rescheduled),300 min,19
"Sun, 12/6/15",Running Festival of Lights,330 min,11
"Mon, 12/7/15 - Thurs, 12/10/15",CPC Tutoring,240 min,3
"Thurs, 12/10/15",The NYC Arcade,300 min,13
"Sun, 12/13/15",Frozen Bonsai Half Marathon,360 min,35
"Sat, 12/12/15",The Holiday Half Marathon,180 min,15
"Mon, 12/14/15 - Thurs, 12/17/15",CPC Tutoring,240 min,4
"Fri, 12/18/15",TRC Young Leaders Conference,165 min,5
"Fri, 12/18/15",Holiday Movie Night,150 min,55
"Fri, 12/18/15",Winter Clothes Drive Sorting,90 min,7
"Sat, 12/19/15",Hamilton Madison House Santa's Helpers,300 min,9
"Sat, 12/19/15",Woodhaven Public Library Winter Wonderland,300 min,43
"Sat, 12/19/15",NYSoM Winter Wonderland,300 min,6
"Mon, 12/21/15 - Tues, 12/22/15",CPC Tutoring,240 min,4
"Sun, 12/27/15",Serving St. Francis Xavier,240 min,16
"Sun, 1/3/16",Philip K. Dick Science Fiction Film Festival Street Team,120 min,10
"Mon, 1/4/16 - Thurs, 1/7/16",CPC Tutoring,240 min,7
"Sat, 1/9/16",Philip K. Dick Science Fiction Film Festival Street Team Part 2,120 min,10
"Sun, 1/10/16",Cocoa Classic Central Park 5 & 10 Miler,270 min,28
"Sun, 1/10/16",Mulchfest Gowanus,240 min,12
"Mon, 1/11/16 - Thurs, 1/14/16",CPC Tutoring,240 min,3
"Mon, 1/18/16",MLK Day of Service,420 min,4
"Sat, 1/30/16",BELL Tutoring,90 min,6
"Fri, 2/5/16 - Sat, 2/6/16",Spruce Street School PS 397 Winter Carnival,840 min,61
"Tues, 2/2/16 - Thurs, 2/4/16",CPC Tutoring,240 min,2
"Sat, 2/6/16",BELL Tutoring,90 min,2
"Sat, 2/6/16",Rubin Museum: Losar Himalayan New Year Family Day,390 min,9
"Sat, 2/6/16",Firecracker Setup,150 min,23
"Sun, 2/7/16",NYRR Gridiron / Longest Football Throw,240 min,16
"Mon, 2/8/16",Lunar New Year Firecracker Festival,480 min,98
"Tues, 2/9/16 - Thurs, 2/11/16",CPC Tutoring,240 min,1
"Sat, 2/13/16",Actors for Shelter Exercise,360 min,9
"Sun, 2/14/16",Parade Day ,540 min,105
"Mon, 2/15/16 - Thurs, 2/18/16",CPC Tutoring,240 min,
"Tues, 2/16/16",Climb to the Top Packet Assemly,330 min,10
"Tues, 2/16/16 - Fri, 2/19/16",Missing Map Project Marathon,720 min,29
"Sat, 2/20/16",NYRR Al Gordon 4M,240 min,15
"Sat, 2/27/16",BELL Tutoring,90 min,3
"Sun, 2/28/16",MS Climb to the Top,345 min,24
"Sun, 2/28/16",Brooklyn Lantern Festival ,510 min,62
"Sat, 3/5/16",BELL Tutoring,90 min,3
Sat 3/5/16,Home Fire Preparedness Campaign in Bedford - Stuyvesant,480 min,6
Sun 3/6/16,St. Pat's for All,210 min,35
"Sat, 3/12/16",BELL Tutoring,,
"Sat, 3/12/16",Sports at PS 182,180 min,2
"Sun, 3/13/16",Boro-Linc Arts Program,150 min,7
"Sat, 3/19/16",Carl Schurz Park Egg Hunt for Kids,240 min,18
"Sun, 3/20/16",MS Half Marathon Cheer Station,150 min,14
"Sun, 3/20/16",Manny Cantor Purim Festival,240 min,20
"Sat, 3/26/16",McGolrick Egg Hunt,360 min,13
"Sat, 3/26/16",NYSoM Easter Eggstravangaza,330 min,26
"Fri, 4/01/16",LGBTQ+ Youth Gala,270 min,9
"Fri, 4/01/16 - Sat, 4/02/16",Disaster Ready Summit,750 min,24
"Sat, 04/02/16",SINY Half Marathon,180 min,5
"Sat, 04/02/16 - Sun, 04/03/16",MoCCA Arts Festival,600 min,23
"Sun, 04/03/16",Serving St. Francis Xavier,240 min,13
"Sun, 04/03/16",March Madness Duathlon ,270 min,8
"Sat, 04/09/16",Purple Stride New York City,330 min,10
"Sat, 04/09/16",Family Day at PS 277,240 min,6
"Sat, 04/09/16",Boro-Linc Arts Program: Met Opera,150 min,7
"Sat, 04/09/16",USO 5K Run/Walk,330 min,12
"Sat, 04/09/16",6th Annual Fight for Air Climb,390 min,18
"Sun, 04/10/16",Rubin Museum Family Sundays,210 min,2
"Sun, 04/10/16",Queens Veterans Assistance Social,210 min,4
"Sat, 04/16/16",Walk For Kids Growth,360 min,44
"Sat, 04/16/16",HFPC Flatbush,420 min,14
"Sat, 04/16/16",Tribeca Film Festival Street Fair 4/23,540 min,7
"Sun, 04/17/16",Green Festival,510 min,26
"Sun, 04/17/16",Tour de Staten Island,510 min,12
"Sun, 04/17/16",Boro Park Y/ Met Council Family Violence,210 min,
"Sun, 04/17/16",Mitsvah Day,420 min,39
"Sun, 04/17/16",Walk MS,210 min,6
"Sun, 04/17/16",Tribeca Family Street Fair,540 min,7
"Sat, 04/23/16",Hudson River Park Green Team,210 min,5
"Sun, 04/24/16",Queens Botanical Garden Arbor Fest,540 min,50
"Sat , 04/30/16",ADA Expo,210 min,20
"Sat , 04/30/16",HFPC St. Albans,480 min,2
"Sat, 04/30/16",NYC Holi Hai,540 min.,10
"Sun, 05/01/16",Rubin Museum Family Sundays,210 min,2
"Sun, 05/01/16",Irish Dance Festival,270 min,27
"Sat, 05/7/16",Plumb Beach Cleanup,240 min,4
"Sat, 05/7/16",NAMI Walk 2016,270 min.,29
"Sat, 05/7/16",Central Park Spring Relay,300 min,7
"Sun, 05/8/16",Japan Day,270 min,9
"Fri, 05/13/16",Susan G. Komen Office Help,180 min,5
"Sat, 05/14/16",NYC Lung Force,360 min,12
"Sat, 05/14/16",NYC Bike Expo ,540 min ,
"Sat, 05/14/16",HFPC Washington Heights,510 min,4
"Sun, 05/15/16",AIDS Walk,540 min,60
"Sun, 05/15/16",Boro-Linc Arts Program,210 min,9
"Sun, 05/15/16",Rubin Museum Family Sundays,210 min,1
"Sat, 05/21/16",RAID Cross Simulation,270 min,8
"Sat, 05/21/16",Big Apple Spring 2016,690 min,
"Sat, 05/21/16",Hudson River Park Games,750 min,22
"Sat, 05/21/16",Taste of Tribeca,540 min,78
"Sat, 05/21/16 - Sun, 05/22/16",Passport to Taiwan,1110 min,53
"Sun, 05/22/16",United Progressive Young Democrats Club Clean Up,360 min,17
"Sun, 05/22/16",Rubin Museum Family Sundays,210 min ,1
"Tues, 05/24/16",Indicator Flower Distribution,60 min ,13
"Sat, 05/28/16",Cool Culture,180 min,2